SI_LONG SI_LATI code_square
10.09 54.68 38G0
10.09 55.56 40G0
10.11 55.65 40G0
10.11 55.02 39G0
10.11 54.69 38G0
10.11 54.53 38G0
10.11 54.55 38G0
10.11 55.1 39G0
10.11 54.6 38G0
10.11 54.8 38G0
10.11 55.68 40G0
10.11 55.14 39G0
10.11 54.96 38G0
10.11 55 39G0
10.11 54.87 38G0
10.11 55.74 40G0
10.11 54.64 38G0
10.11 54.98 38G0
10.11 54.82 38G0
10.11 55.72 40G0
10.11 55.05 39G0
10.11 55.79 40G0
10.11 54.51 38G0
10.11 54.57 38G0
10.11 54.84 38G0
10.11 54.75 38G0
10.11 54.89 38G0
10.11 54.71 38G0
10.11 54.73 38G0
10.11 54.62 38G0
10.11 55.77 40G0
10.11 54.93 38G0
10.11 54.91 38G0
10.11 54.78 38G0
10.11 54.66 38G0
10.11 55.16 39G0
10.11 55.61 40G0
10.11 55.7 40G0
10.11 55.63 40G0
10.12 56.72 42G0
10.14 55.7 40G0
10.14 55.79 40G0
10.14 54.71 38G0
10.14 55 39G0
10.14 55.63 40G0
10.14 55.83 40G0
10.14 54.8 38G0
10.14 55.77 40G0
10.14 54.6 38G0
10.14 54.96 38G0
10.14 54.53 38G0
10.14 54.62 38G0
10.14 54.51 38G0
10.14 54.78 38G0
10.14 54.89 38G0
10.14 55.68 40G0
10.14 54.57 38G0
10.14 55.61 40G0
10.14 54.82 38G0
10.14 54.84 38G0
10.14 54.66 38G0
10.14 54.64 38G0
10.14 54.93 38G0
10.14 54.98 38G0
10.14 54.75 38G0
10.14 55.14 39G0
10.14 54.69 38G0
10.14 55.65 40G0
10.14 54.73 38G0
10.14 55.81 40G0
10.14 54.55 38G0
10.14 55.74 40G0
10.14 54.87 38G0
10.14 54.91 38G0
10.14 55.72 40G0
10.16 54.33 37G0
10.17 64.19 57G0
10.17 65.09 59G0
10.17 65.99 60G0
10.17 66.88 62G0
10.17 58.79 46G0
10.17 57.89 44G0
10.17 54.44 37G0
10.18 54.93 38G0
10.18 54.84 38G0
10.18 54.73 38G0
10.18 54.66 38G0
10.18 54.78 38G0
10.18 54.64 38G0
10.18 55.74 40G0
10.18 54.62 38G0
10.18 55.81 40G0
10.18 55.68 40G0
10.18 54.96 38G0
10.18 54.71 38G0
10.18 54.53 38G0
10.18 54.6 38G0
10.18 55.7 40G0
10.18 54.48 37G0
10.18 54.91 38G0
10.18 54.57 38G0
10.18 55.79 40G0
10.18 55 39G0
10.18 54.8 38G0
10.18 55.72 40G0
10.18 54.69 38G0
10.18 54.51 38G0
10.18 54.89 38G0
10.18 54.75 38G0
10.18 54.55 38G0
10.18 55.02 39G0
10.18 55.77 40G0
10.18 54.87 38G0
10.18 54.82 38G0
10.18 54.98 38G0
10.2 54.38 37G0
10.2 56.15 41G0
10.22 57.05 43G0
10.22 54.44 37G0
10.22 55.74 40G0
10.22 54.93 38G0
10.22 54.87 38G0
10.22 54.53 38G0
10.22 54.73 38G0
10.22 55.79 40G0
10.22 55.02 39G0
10.22 54.48 37G0
10.22 55.77 40G0
10.22 54.57 38G0
10.22 54.71 38G0
10.22 54.78 38G0
10.22 55 39G0
10.22 54.64 38G0
10.22 54.75 38G0
10.22 54.62 38G0
10.22 54.6 38G0
10.22 55.83 40G0
10.22 54.89 38G0
10.22 54.69 38G0
10.22 54.46 37G0
10.22 54.91 38G0
10.22 54.82 38G0
10.22 55.05 39G0
10.22 55.68 40G0
10.22 55.88 40G0
10.22 54.66 38G0
10.22 55.72 40G0
10.22 55.7 40G0
10.22 54.51 38G0
10.22 55.81 40G0
10.22 54.84 38G0
10.22 54.55 38G0
10.22 55.65 40G0
10.22 54.8 38G0
10.22 55.63 40G0
10.22 54.4 37G0
10.24 55.09 39G0
10.25 54.44 37G0
10.25 54.64 38G0
10.25 54.46 37G0
10.25 55.72 40G0
10.25 56.17 41G0
10.25 54.98 38G0
10.25 54.75 38G0
10.25 55.63 40G0
10.25 54.51 38G0
10.25 54.84 38G0
10.25 54.82 38G0
10.25 55.81 40G0
10.25 54.69 38G0
10.25 54.48 37G0
10.25 54.78 38G0
10.25 54.8 38G0
10.25 55.88 40G0
10.25 54.71 38G0
10.25 55.86 40G0
10.25 55.83 40G0
10.25 54.53 38G0
10.25 55.65 40G0
10.25 55.7 40G0
10.25 54.87 38G0
10.25 54.66 38G0
10.25 54.89 38G0
10.25 54.73 38G0
10.25 56.15 41G0
10.25 56.12 41G0
10.25 54.62 38G0
10.25 55.68 40G0
10.25 55 39G0
10.25 54.55 38G0
10.25 54.6 38G0
10.25 54.57 38G0
10.25 55.07 39G0
10.25 55.79 40G0
10.26 54.94 38G0
10.26 57.8 44G0
10.26 58.88 46G0
10.26 58.4 45G0
10.26 58.64 46G0
10.26 58.04 45G0
10.26 58.52 46G0
10.26 57.92 44G0
10.26 58.16 45G0
10.26 58.28 45G0
10.26 58.76 46G0
10.26 59 46G0
10.26 57.68 44G0
10.29 55.68 40G0
10.29 54.57 38G0
10.29 55.97 40G0
10.29 54.71 38G0
10.29 55.79 40G0
10.29 55.72 40G0
10.29 54.73 38G0
10.29 56.08 41G0
10.29 56.91 42G0
10.29 56.89 42G0
10.29 56.17 41G0
10.29 54.46 37G0
10.29 54.84 38G0
10.29 55.65 40G0
10.29 54.96 38G0
10.29 56.87 42G0
10.29 54.78 38G0
10.29 56.84 42G0
10.29 55.7 40G0
10.29 55.9 40G0
10.29 54.8 38G0
10.29 54.53 38G0
10.29 56.06 41G0
10.29 56.1 41G0
10.29 54.69 38G0
10.29 54.82 38G0
10.29 56.15 41G0
10.29 55.88 40G0
10.29 54.6 38G0
10.29 54.75 38G0
10.29 54.51 38G0
10.29 55.92 40G0
10.29 55.95 40G0
10.29 54.64 38G0
10.29 55.86 40G0
10.29 54.62 38G0
10.29 54.98 38G0
