vid percent
DNK000005011 0
DNK000005011 0
DNK000005011 0.3641
DNK000005011 0
DNK000005011 0.4396
DNK000005011 0
DNK000005011 0.0919
DNK000005011 0.9026
DNK000005011 0
DNK000005011 0.0013
DNK000005011 0.0052
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0.0738
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 1.3357
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0.3378
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005016 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0.5186
DNK000005142 0
DNK000005142 0.6944
DNK000005142 0
DNK000005142 2.2523
DNK000005142 0.143
DNK000005142 0.0709
DNK000005142 0.0033
DNK000005142 0
DNK000005142 0.0384
DNK000005142 0.0021
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 1e-04
DNK000005142 3.4221
DNK000005142 1.1905
DNK000005142 1.669
DNK000005142 0.0105
DNK000005142 0.4207
DNK000005142 1.0799
DNK000005142 0
DNK000005142 0.0014
DNK000005142 0
DNK000005142 0.6278
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005142 0
DNK000005269 0.0218
DNK000005269 0.9122
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 1e-04
DNK000005269 0.8002
DNK000005269 1.2291
DNK000005269 0
DNK000005269 0
DNK000005269 0.012
DNK000005269 2.4411
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 4e-04
DNK000005269 0.7395
DNK000005269 0.0862
DNK000005269 0.3748
DNK000005269 1e-04
DNK000005269 0.0846
DNK000005269 0.4855
DNK000005269 2e-04
DNK000005269 1.0724
DNK000005269 0.0208
DNK000005269 0.3787
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005269 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 2.9122
DNK000005369 0.1112
DNK000005369 0
DNK000005369 0
DNK000005369 1.1594
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 2.9942
DNK000005369 0
DNK000005369 0
DNK000005369 4.0246
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 1.1302
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005369 0
DNK000005418 0
DNK000005418 1.8345
DNK000005418 0
DNK000005418 1e-04
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0.1677
DNK000005418 1.8946
DNK000005418 0
DNK000005418 0
DNK000005418 0.1787
DNK000005418 0.1086
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0.2355
DNK000005418 0
DNK000005418 0
DNK000005418 0.0903
DNK000005418 0
DNK000005418 0
DNK000005418 1.3102
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005418 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 0
DNK000005463 1.8685
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0.0409
DNK000005487 0
DNK000005487 1e-04
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005487 0
DNK000005491 0
DNK000005491 0.4588
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 5e-04
DNK000005491 0.0867
DNK000005491 0.4498
DNK000005491 3.5114
DNK000005491 0
