Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 2 12 9 8 22 4 37 57 52 57 41 26
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 290 1012 1334 1297 1332 1007 675
DNK000013667 2015 15.727 55.027 a_stock 11 0 0 0 0 0 0 0 18 105 145 135 162 107 69
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 56 169 195 141 254 643 2187 2184 2005 2233 1299 1662
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 37 79 61 53 59 34 43
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 9 58 74 71 78 38 59
DNK000029865 2015 14.837 54.79 a_stock 11 0 0 7 23 26 18 32 28 100 97 89 103 66 72
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 5 39 57 52 56 41 26
DNK000029865 2015 14.837 54.79 a_stock 11 0 0 7 23 26 18 32 29 101 97 89 103 66 72
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 301 1063 1390 1345 1386 1046 700
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 20 13 2 0 0 0 0
DNK000013667 2015 15.727 55.027 a_stock 11 0 0 0 0 0 0 0 18 106 144 134 161 106 69
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 10 60 74 70 77 37 59
DNK000029865 2015 14.837 54.79 a_stock 11 0 0 7 23 26 18 32 30 101 97 89 103 66 72
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 307 1071 1392 1345 1386 1046 700
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 7 41 56 51 55 40 25
DNK000038910 2015 15.704 55.1 a_stock 11 0 0 7 27 38 49 142 24 165 238 220 262 176 115
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 11 61 74 70 76 37 58
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 61 182 210 151 272 661 2278 2282 2098 2339 1363 1738
DNK000006541 2015 17.982 55.305 a_stock 11 0 0 0 0 0 0 0 1 1 0 0 0 0 0
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 11 2 0 0 0 0 0
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 4 25 51 74 124 104 242 291 307 305 242 172
DNK000038910 2015 15.704 55.1 a_stock 11 0 0 0 0 0 0 0 33 180 236 215 255 171 111
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 5 27 54 79 132 110 257 309 326 324 257 183
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 6 0 0 0 0 0 0
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 13 64 73 69 75 36 57
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 221 1128 771 513 939 245 593 702 668 743 731 388
DNK000033300 2015 16.922 55.25 a_stock 11 0 0 0 0 0 0 1 0 1 2 3 3 1 1
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 9 40 47 41 44 32 20
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 5 16 22 29 89 14 105 154 143 172 114 77
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 65 195 226 162 292 684 2379 2390 2198 2452 1433 1820
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 311 1073 1392 1345 1386 1046 700
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 0 0 0 0 0 19 106 135 122 146 96 65
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 5 6 1 0 0 0 0
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 221 1128 771 513 939 256 603 703 668 743 731 388
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 5 29 58 83 140 117 273 327 346 344 273 194
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 70 209 241 173 312 711 2485 2497 2297 2564 1502 1902
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 312 1073 1392 1345 1386 1046 700
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 16 67 72 67 73 35 56
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 3 0 0 0 0 0 0
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 2 0 0 0 0 0 0
DNK000006541 2015 17.999 55.197 a_stock 11 0 0 0 0 0 0 1 1 3 3 3 3 3 2
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 221 1128 771 513 939 262 605 703 668 743 731 388
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 0 0 0 0 0 10 17 4 1 0 0 0
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 70 209 241 173 312 744 2597 2602 2393 2673 1568 1981
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 3 1 0 0 0 0 0
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 5 30 61 88 148 124 288 346 365 363 288 205
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 24 74 70 63 68 33 52
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 313 1073 1392 1345 1386 1046 700
DNK000029865 2015 14.898 54.782 a_stock 11 0 0 9 28 31 22 40 36 135 133 123 142 91 100
DNK000029865 2015 14.898 54.782 a_stock 11 0 0 9 28 31 22 40 40 140 134 123 142 91 100
DNK000033300 2015 16.973 55.278 a_stock 11 0 0 0 0 0 0 0 0 1 2 2 3 1 1
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 314 1073 1392 1345 1386 1046 700
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 70 209 241 173 312 792 2714 2699 2479 2769 1627 2050
